DriverID,Year,Tracks,Team,Ranking,LapTime
21,2014,Red Bull Ring,AlphaTauri,5,81.38
22,2014,Red Bull Ring,Haas,14,85.88
1,2014,Zandvoort,Mercedes,13,70.6
2,2014,Zandvoort,Mercedes,12,70.1
3,2014,Zandvoort,Red Bull,3,65.6
4,2014,Zandvoort,Red Bull,19,73.6
5,2014,Zandvoort,Ferrari,4,66.1
6,2014,Zandvoort,Ferrari,11,69.6
7,2014,Zandvoort,Aston Martin,10,69.1
8,2014,Zandvoort,Aston Martin,8,68.1
9,2014,Zandvoort,McLaren,1,64.6
10,2014,Zandvoort,McLaren,2,65.1
11,2014,Zandvoort,Alpine,20,74.1
12,2014,Zandvoort,Alpine,14,71.1
13,2014,Zandvoort,Alfa Romeo,21,74.6
14,2014,Zandvoort,Alfa Romeo,16,72.1
15,2014,Zandvoort,Haas,18,73.1
16,2014,Zandvoort,Haas,7,67.6
17,2014,Zandvoort,AlphaTauri,5,66.6
18,2014,Zandvoort,AlphaTauri,15,71.6
19,2014,Zandvoort,Williams,17,72.6
20,2014,Zandvoort,Williams,22,75.1
21,2014,Zandvoort,AlphaTauri,9,68.6
22,2014,Zandvoort,Haas,6,67.1
1,2014,Imola,Mercedes,6,62.69
2,2014,Imola,Mercedes,22,70.69
3,2014,Imola,Red Bull,11,65.19
4,2014,Imola,Red Bull,10,64.69
5,2014,Imola,Ferrari,7,63.19
6,2014,Imola,Ferrari,13,66.19
7,2014,Imola,Aston Martin,17,68.19
8,2014,Imola,Aston Martin,21,70.19
9,2014,Imola,McLaren,18,68.69
10,2014,Imola,McLaren,14,66.69
11,2014,Imola,Alpine,1,60.19
12,2014,Imola,Alpine,2,60.69
13,2014,Imola,Alfa Romeo,5,62.19
14,2014,Imola,Alfa Romeo,20,69.69
15,2014,Imola,Haas,9,64.19
16,2014,Imola,Haas,4,61.69
17,2014,Imola,AlphaTauri,19,69.19
18,2014,Imola,AlphaTauri,16,67.69
19,2014,Imola,Williams,15,67.19
20,2014,Imola,Williams,12,65.69
21,2014,Imola,AlphaTauri,8,63.69
22,2014,Imola,Haas,3,61.19
1,2014,Hockenheim,Mercedes,9,66.53
2,2014,Hockenheim,Mercedes,20,72.03
3,2014,Hockenheim,Red Bull,14,69.03
4,2014,Hockenheim,Red Bull,8,66.03
5,2014,Hockenheim,Ferrari,6,65.03
6,2014,Hockenheim,Ferrari,10,67.03
7,2014,Hockenheim,Aston Martin,12,68.03
8,2014,Hockenheim,Aston Martin,5,64.53
9,2014,Hockenheim,McLaren,15,69.53
10,2014,Hockenheim,McLaren,11,67.53
11,2014,Hockenheim,Alpine,16,70.03
12,2014,Hockenheim,Alpine,17,70.53
13,2014,Hockenheim,Alfa Romeo,22,73.03
14,2014,Hockenheim,Alfa Romeo,18,71.03
15,2014,Hockenheim,Haas,4,64.03
16,2014,Hockenheim,Haas,21,72.53
17,2014,Hockenheim,AlphaTauri,2,63.03
18,2014,Hockenheim,AlphaTauri,7,65.53
19,2014,Hockenheim,Williams,19,71.53
20,2014,Hockenheim,Williams,3,63.53
21,2014,Hockenheim,AlphaTauri,13,68.53
22,2014,Hockenheim,Haas,1,62.53
1,2014,Marina Bay,Mercedes,9,78.8
2,2014,Marina Bay,Mercedes,18,83.3
3,2014,Marina Bay,Red Bull,2,75.3
4,2014,Marina Bay,Red Bull,4,76.3
5,2014,Marina Bay,Ferrari,20,84.3
6,2014,Marina Bay,Ferrari,22,85.3
7,2014,Marina Bay,Aston Martin,12,80.3
8,2014,Marina Bay,Aston Martin,3,75.8
9,2014,Marina Bay,McLaren,11,79.8
10,2014,Marina Bay,McLaren,8,78.3
11,2014,Marina Bay,Alpine,5,76.8
12,2014,Marina Bay,Alpine,21,84.8
13,2014,Marina Bay,Alfa Romeo,6,77.3
14,2014,Marina Bay,Alfa Romeo,7,77.8
15,2014,Marina Bay,Haas,19,83.8
16,2014,Marina Bay,Haas,1,74.8
17,2014,Marina Bay,AlphaTauri,10,79.3
18,2014,Marina Bay,AlphaTauri,13,80.8
19,2014,Marina Bay,Williams,17,82.8
20,2014,Marina Bay,Williams,14,81.3
21,2014,Marina Bay,AlphaTauri,15,81.8
22,2014,Marina Bay,Haas,16,82.3
1,2014,Albert Park,Mercedes,7,72.2
2,2014,Albert Park,Mercedes,8,72.7
3,2014,Albert Park,Red Bull,4,70.7
4,2014,Albert Park,Red Bull,18,77.7
5,2014,Albert Park,Ferrari,2,69.7
6,2014,Albert Park,Ferrari,15,76.2
7,2014,Albert Park,Aston Martin,9,73.2
8,2014,Albert Park,Aston Martin,20,78.7
9,2014,Albert Park,McLaren,5,71.2
10,2014,Albert Park,McLaren,13,75.2
11,2014,Albert Park,Alpine,21,79.2
12,2014,Albert Park,Alpine,11,74.2
13,2014,Albert Park,Alfa Romeo,3,70.2
14,2014,Albert Park,Alfa Romeo,17,77.2
15,2014,Albert Park,Haas,10,73.7
16,2014,Albert Park,Haas,1,69.2
17,2014,Albert Park,AlphaTauri,6,71.7
18,2014,Albert Park,AlphaTauri,19,78.2
19,2014,Albert Park,Williams,12,74.7
20,2014,Albert Park,Williams,22,79.7
21,2014,Albert Park,AlphaTauri,16,76.7
22,2014,Albert Park,Haas,14,75.7
1,2014,Circuit of the Americas,Mercedes,11,74.2
2,2014,Circuit of the Americas,Mercedes,14,75.7
3,2014,Circuit of the Americas,Red Bull,1,69.2
4,2014,Circuit of the Americas,Red Bull,7,72.2
5,2014,Circuit of the Americas,Ferrari,22,79.7
6,2014,Circuit of the Americas,Ferrari,20,78.7
7,2014,Circuit of the Americas,Aston Martin,17,77.2
8,2014,Circuit of the Americas,Aston Martin,2,69.7
9,2014,Circuit of the Americas,McLaren,15,76.2
10,2014,Circuit of the Americas,McLaren,13,75.2
11,2014,Circuit of the Americas,Alpine,3,70.2
12,2014,Circuit of the Americas,Alpine,10,73.7
13,2014,Circuit of the Americas,Alfa Romeo,19,78.2
14,2014,Circuit of the Americas,Alfa Romeo,9,73.2
15,2014,Circuit of the Americas,Haas,6,71.7
16,2014,Circuit of the Americas,Haas,18,77.7
17,2014,Circuit of the Americas,AlphaTauri,8,72.7
18,2014,Circuit of the Americas,AlphaTauri,12,74.7
19,2014,Circuit of the Americas,Williams,5,71.2
20,2014,Circuit of the Americas,Williams,4,70.7
21,2014,Circuit of the Americas,AlphaTauri,16,76.7
22,2014,Circuit of the Americas,Haas,21,79.2
1,2014,Shanghai,Mercedes,3,68.44
2,2014,Shanghai,Mercedes,12,72.94
3,2014,Shanghai,Red Bull,4,68.94
4,2014,Shanghai,Red Bull,10,71.94
5,2014,Shanghai,Ferrari,8,70.94
6,2014,Shanghai,Ferrari,20,76.94
7,2014,Shanghai,Aston Martin,2,67.94
8,2014,Shanghai,Aston Martin,1,67.44
9,2014,Shanghai,McLaren,9,71.44
10,2014,Shanghai,McLaren,22,77.94
11,2014,Shanghai,Alpine,5,69.44
12,2014,Shanghai,Alpine,18,75.94
13,2014,Shanghai,Alfa Romeo,21,77.44
14,2014,Shanghai,Alfa Romeo,17,75.44
15,2014,Shanghai,Haas,6,69.94
16,2014,Shanghai,Haas,11,72.44
17,2014,Shanghai,AlphaTauri,15,74.44
18,2014,Shanghai,AlphaTauri,16,74.94
19,2014,Shanghai,Williams,14,73.94
20,2014,Shanghai,Williams,7,70.44
21,2014,Shanghai,AlphaTauri,13,73.44
22,2014,Shanghai,Haas,19,76.44
1,2014,Sochi,Mercedes,9,65.13
2,2014,Sochi,Mercedes,11,66.13
3,2014,Sochi,Red Bull,17,69.13
4,2014,Sochi,Red Bull,12,66.63
5,2014,Sochi,Ferrari,14,67.63
6,2014,Sochi,Ferrari,8,64.63
7,2014,Sochi,Aston Martin,13,67.13
8,2014,Sochi,Aston Martin,5,63.13
9,2014,Sochi,McLaren,21,71.13
10,2014,Sochi,McLaren,4,62.63
11,2014,Sochi,Alpine,3,62.13
12,2014,Sochi,Alpine,10,65.63
13,2014,Sochi,Alfa Romeo,15,68.13
14,2014,Sochi,Alfa Romeo,18,69.63
15,2014,Sochi,Haas,6,63.63
16,2014,Sochi,Haas,2,61.63
17,2014,Sochi,AlphaTauri,1,61.13
18,2014,Sochi,AlphaTauri,16,68.63
19,2014,Sochi,Williams,7,64.13
20,2014,Sochi,Williams,19,70.13
21,2014,Sochi,AlphaTauri,20,70.63
22,2014,Sochi,Haas,22,71.63
1,2014,Sepang,Mercedes,9,71.57
2,2014,Sepang,Mercedes,12,73.07
3,2014,Sepang,Red Bull,15,74.57
4,2014,Sepang,Red Bull,7,70.57
5,2014,Sepang,Ferrari,21,77.57
6,2014,Sepang,Ferrari,18,76.07
7,2014,Sepang,Aston Martin,1,67.57
8,2014,Sepang,Aston Martin,5,69.57
9,2014,Sepang,McLaren,19,76.57
10,2014,Sepang,McLaren,4,69.07
11,2014,Sepang,Alpine,6,70.07
12,2014,Sepang,Alpine,11,72.57
13,2014,Sepang,Alfa Romeo,10,72.07
14,2014,Sepang,Alfa Romeo,14,74.07
15,2014,Sepang,Haas,8,71.07
16,2014,Sepang,Haas,20,77.07
17,2014,Sepang,AlphaTauri,13,73.57
18,2014,Sepang,AlphaTauri,16,75.07
19,2014,Sepang,Williams,17,75.57
20,2014,Sepang,Williams,2,68.07
21,2014,Sepang,AlphaTauri,22,78.07
22,2014,Sepang,Haas,3,68.57
1,2014,Istanbul Park,Mercedes,4,62.48
2,2014,Istanbul Park,Mercedes,3,61.98
3,2014,Istanbul Park,Red Bull,2,61.48
4,2014,Istanbul Park,Red Bull,11,65.98
5,2014,Istanbul Park,Ferrari,1,60.98
6,2014,Istanbul Park,Ferrari,18,69.48
7,2014,Istanbul Park,Aston Martin,22,71.48
8,2014,Istanbul Park,Aston Martin,17,68.98
9,2014,Istanbul Park,McLaren,20,70.48
10,2014,Istanbul Park,McLaren,5,62.98
11,2014,Istanbul Park,Alpine,9,64.98
12,2014,Istanbul Park,Alpine,19,69.98
13,2014,Istanbul Park,Alfa Romeo,21,70.98
14,2014,Istanbul Park,Alfa Romeo,8,64.48
15,2014,Istanbul Park,Haas,13,66.98
16,2014,Istanbul Park,Haas,16,68.48
17,2014,Istanbul Park,AlphaTauri,12,66.48
18,2014,Istanbul Park,AlphaTauri,15,67.98
19,2014,Istanbul Park,Williams,10,65.48
20,2014,Istanbul Park,Williams,6,63.48
21,2014,Istanbul Park,AlphaTauri,7,63.98
22,2014,Istanbul Park,Haas,14,67.48
1,2014,Baku City Circuit,Mercedes,9,78.42
2,2014,Baku City Circuit,Mercedes,21,84.42
3,2014,Baku City Circuit,Red Bull,17,82.42
4,2014,Baku City Circuit,Red Bull,2,74.92
5,2014,Baku City Circuit,Ferrari,16,81.92
6,2014,Baku City Circuit,Ferrari,18,82.92
7,2014,Baku City Circuit,Aston Martin,6,76.92
8,2014,Baku City Circuit,Aston Martin,10,78.92
9,2014,Baku City Circuit,McLaren,3,75.42
10,2014,Baku City Circuit,McLaren,19,83.42
11,2014,Baku City Circuit,Alpine,22,84.92
12,2014,Baku City Circuit,Alpine,13,80.42
13,2014,Baku City Circuit,Alfa Romeo,4,75.92
14,2014,Baku City Circuit,Alfa Romeo,1,74.42
15,2014,Baku City Circuit,Haas,12,79.92
16,2014,Baku City Circuit,Haas,15,81.42
17,2014,Baku City Circuit,AlphaTauri,5,76.42
18,2014,Baku City Circuit,AlphaTauri,14,80.92
19,2014,Baku City Circuit,Williams,11,79.42
20,2014,Baku City Circuit,Williams,7,77.42
21,2014,Baku City Circuit,AlphaTauri,8,77.92
22,2014,Baku City Circuit,Haas,20,83.92
1,2014,Las Vegas Street Circuit,Mercedes,1,72.34
2,2014,Las Vegas Street Circuit,Mercedes,2,72.84
3,2014,Las Vegas Street Circuit,Red Bull,17,80.34
4,2014,Las Vegas Street Circuit,Red Bull,10,76.84
5,2014,Las Vegas Street Circuit,Ferrari,5,74.34
6,2014,Las Vegas Street Circuit,Ferrari,14,78.84
7,2014,Las Vegas Street Circuit,Aston Martin,22,82.84
8,2014,Las Vegas Street Circuit,Aston Martin,4,73.84
9,2014,Las Vegas Street Circuit,McLaren,21,82.34
10,2014,Las Vegas Street Circuit,McLaren,3,73.34
11,2014,Las Vegas Street Circuit,Alpine,18,80.84
12,2014,Las Vegas Street Circuit,Alpine,20,81.84
13,2014,Las Vegas Street Circuit,Alfa Romeo,7,75.34
14,2014,Las Vegas Street Circuit,Alfa Romeo,8,75.84
15,2014,Las Vegas Street Circuit,Haas,19,81.34
16,2014,Las Vegas Street Circuit,Haas,13,78.34
17,2014,Las Vegas Street Circuit,AlphaTauri,12,77.84
18,2014,Las Vegas Street Circuit,AlphaTauri,11,77.34
19,2014,Las Vegas Street Circuit,Williams,16,79.84
20,2014,Las Vegas Street Circuit,Williams,15,79.34
21,2014,Las Vegas Street Circuit,AlphaTauri,6,74.84
22,2014,Las Vegas Street Circuit,Haas,9,76.34
1,2014,Miami International,Mercedes,18,75.45
2,2014,Miami International,Mercedes,4,68.45
3,2014,Miami International,Red Bull,8,70.45
4,2014,Miami International,Red Bull,14,73.45
5,2014,Miami International,Ferrari,11,71.95
6,2014,Miami International,Ferrari,1,66.95
7,2014,Miami International,Aston Martin,7,69.95
8,2014,Miami International,Aston Martin,2,67.45
9,2014,Miami International,McLaren,19,75.95
10,2014,Miami International,McLaren,3,67.95
11,2014,Miami International,Alpine,6,69.45
12,2014,Miami International,Alpine,16,74.45
13,2014,Miami International,Alfa Romeo,21,76.95
14,2014,Miami International,Alfa Romeo,12,72.45
15,2014,Miami International,Haas,9,70.95
16,2014,Miami International,Haas,15,73.95
17,2014,Miami International,AlphaTauri,5,68.95
18,2014,Miami International,AlphaTauri,22,77.45
19,2014,Miami International,Williams,20,76.45
20,2014,Miami International,Williams,10,71.45
21,2014,Miami International,AlphaTauri,13,72.95
22,2014,Miami International,Haas,17,74.95
1,2015,Monza,Mercedes,15,84.64
2,2015,Monza,Mercedes,17,85.64
3,2015,Monza,Red Bull,13,83.64
4,2015,Monza,Red Bull,7,80.64
5,2015,Monza,Ferrari,20,87.14
6,2015,Monza,Ferrari,1,77.64
7,2015,Monza,Aston Martin,21,87.64
8,2015,Monza,Aston Martin,14,84.14
9,2015,Monza,McLaren,16,85.14
10,2015,Monza,McLaren,19,86.64
11,2015,Monza,Alpine,11,82.64
12,2015,Monza,Alpine,10,82.14
13,2015,Monza,Alfa Romeo,3,78.64
14,2015,Monza,Alfa Romeo,4,79.14
15,2015,Monza,Haas,9,81.64
16,2015,Monza,Haas,18,86.14
17,2015,Monza,AlphaTauri,22,88.14
18,2015,Monza,AlphaTauri,6,80.14
19,2015,Monza,Williams,2,78.14
20,2015,Monza,Williams,8,81.14
21,2015,Monza,AlphaTauri,12,83.14
22,2015,Monza,Haas,5,79.64
1,2015,Silverstone,Mercedes,4,76.17
2,2015,Silverstone,Mercedes,14,81.17
3,2015,Silverstone,Red Bull,2,75.17
4,2015,Silverstone,Red Bull,6,77.17
5,2015,Silverstone,Ferrari,1,74.67
6,2015,Silverstone,Ferrari,19,83.67
7,2015,Silverstone,Aston Martin,7,77.67
8,2015,Silverstone,Aston Martin,11,79.67
9,2015,Silverstone,McLaren,18,83.17
10,2015,Silverstone,McLaren,10,79.17
11,2015,Silverstone,Alpine,13,80.67
12,2015,Silverstone,Alpine,15,81.67
13,2015,Silverstone,Alfa Romeo,16,82.17
14,2015,Silverstone,Alfa Romeo,20,84.17
15,2015,Silverstone,Haas,3,75.67
16,2015,Silverstone,Haas,12,80.17
17,2015,Silverstone,AlphaTauri,17,82.67
18,2015,Silverstone,AlphaTauri,9,78.67
19,2015,Silverstone,Williams,21,84.67
20,2015,Silverstone,Williams,8,78.17
21,2015,Silverstone,AlphaTauri,5,76.67
22,2015,Silverstone,Haas,22,85.17
1,2015,Spa-Francorchamps,Mercedes,5,78.94
2,2015,Spa-Francorchamps,Mercedes,21,86.94
3,2015,Spa-Francorchamps,Red Bull,22,87.44
4,2015,Spa-Francorchamps,Red Bull,12,82.44
5,2015,Spa-Francorchamps,Ferrari,4,78.44
